,province,specific,general,year,gdp,fdi,rnr,rr,i,fr,reg,it
64,Guangdong,714572.0,124647.0,2000,10741.25,1128091,0.0,0.0,0.0,6879383,South Central China,1927102
65,Guangdong,1257232.0,,2001,12039.25,1193203,0.0,0.0,0.0,8511836,South Central China,2152243
66,Guangdong,1235386.0,363054.0,2002,13502.42,1133400,0.0,0.0,0.0,8818088,South Central China,3545004
67,Guangdong,1550764.0,423049.0,2003,15844.64,782294,0.027027027000000002,0.0,0.0,9898522,South Central China,4073606
68,Guangdong,1491588.0,464185.0,2004,18864.62,1001158,0.027027027000000002,0.0,0.0,,South Central China,5193902
69,Guangdong,1491588.0,,2005,22557.37,1236400,0.027027027000000002,0.0,0.0,,South Central China,4327217
70,Guangdong,1897575.0,498913.0,2006,26587.76,1451065,0.027027027000000002,0.0,0.0,16804703,South Central China,4559252
71,Guangdong,859482.0,0.0,2007,31777.01,1712603,0.027027027000000002,0.0,0.0,27858007,South Central China,4947824
72,Guangxi,143887.0,,1996,1697.9,66618,,,,811729,South Central China,729616
73,Guangxi,149136.0,,1997,1817.25,87986,,,,899569,South Central China,749259
74,Guangxi,258540.0,,1998,1911.3,88613,0.0,0.0,0.4,1083876,South Central China,854218
75,Guangxi,371343.0,,1999,1971.41,63512,0.0,0.0,0.4,1200496,South Central China,1004784
76,Guangxi,254002.0,62000.0,2000,2080.04,52466,0.0,0.0,0.4,1292604,South Central China,1228569
77,Guangxi,230580.0,,2001,2279.34,38416,0.0,0.0,0.4,1533908,South Central China,1798599
78,Guangxi,353776.0,100000.0,2002,2523.73,41726,0.0,0.0,0.4,1543658,South Central China,2138758
79,Guangxi,359275.0,150000.0,2003,2821.11,41856,0.0,0.4,0.0,1755299,South Central China,2339769
80,Guangxi,519858.0,273000.0,2004,3433.5,29579,0.0,0.4,0.0,,South Central China,2993142
81,Guangxi,519858.0,,2005,3984.1,37866,0.0,0.4,0.0,,South Central China,3505893
82,Guangxi,761081.0,400000.0,2006,4746.16,44740,0.0,0.4,0.0,2523352,South Central China,4390259
83,Guangxi,2022957.0,1214100.0,2007,5823.41,68396,0.205128205,0.0,0.23076923100000002,4188265,South Central China,6185600
84,Guizhou,101826.0,,1996,723.18,3138,0.10869565199999999,0.0,0.0,412081,Southwest China,544543
85,Guizhou,132187.0,,1997,805.79,4977,0.10869565199999999,0.0,0.0,463197,Southwest China,582711
86,Guizhou,160486.0,,1998,858.39,4535,0.0,0.10869565199999999,0.0,546362,Southwest China,708448
87,Guizhou,320854.0,,1999,937.5,4090,0.0,0.10869565199999999,0.0,608065,Southwest China,959089
88,Guizhou,237948.0,80609.0,2000,1029.92,2501,0.0,0.10869565199999999,0.0,693750,Southwest China,1216605
89,Guizhou,268858.0,,2001,1133.27,2829,0.0,0.16,0.0,781425,Southwest China,1730868
90,Guizhou,331999.0,95648.0,2002,1243.43,3821,0.0,0.16,0.0,830159,Southwest China,2072426
91,Guizhou,379186.0,173556.0,2003,1426.34,4521,0.0,0.0,0.21621621600000002,960708,Southwest China,2138158
92,Guizhou,536815.0,398591.0,2004,1677.8,6533,0.0,0.0,0.21621621600000002,,Southwest China,2795048
93,Guizhou,536815.0,,2005,2005.42,10768,0.0,0.0,0.21621621600000002,,Southwest China,3310025
94,Guizhou,688887.0,320627.0,2006,2338.98,9384,0.0,0.0,0.7105263159999999,1723026,Southwest China,3893879
95,Guizhou,1956261.0,1239200.0,2007,2884.11,12651,0.0,0.0,0.7105263159999999,2851375,Southwest China,5639838
96,Hainan,58824.0,,1996,389.68,78960,,,,202441,South Central China,147897
97,Hainan,61316.0,,1997,411.16,70554,,,,209206,South Central China,157643
98,Hainan,54462.0,,1998,442.13,71715,,,,236461,South Central China,177748
99,Hainan,57828.0,,1999,476.67,48449,,,,239444,South Central China,221470
100,Hainan,68279.0,6721.0,2000,526.82,43080,,,,251380,South Central China,277845
101,Hainan,78457.0,,2001,579.17,46691,,,,273335,South Central China,362003
102,Hainan,93457.0,7263.0,2002,642.73,51196,,,,296060,South Central China,469582
103,Hainan,123374.0,13360.0,2003,713.96,42125,,,,336541,South Central China,608428
104,Hainan,177124.0,43802.0,2004,819.66,64343,,,,,South Central China,746784
105,Hainan,177124.0,,2005,918.75,68400,,,,,South Central China,856525
106,Hainan,216926.0,47198.0,2006,1065.67,74878,,,,536504,South Central China,1030932
107,Hainan,591088.0,302600.0,2007,1254.17,112001,0.0,0.0,0.0,1082935,South Central China,1428990
108,Hebei,339222.0,,1996,3452.97,123652,,,,1218956,North China,801314
109,Hebei,,,1997,3953.78,110064,,,,,North China,826734
110,Hebei,326380.0,,1998,4256.01,142868,0.0,0.0,0.0,1693178,North China,953056
111,Hebei,468498.0,,1999,4514.19,104202,0.0,0.0,0.0,1773629,North China,1287552
112,Hebei,367568.0,44623.0,2000,5043.96,67923,0.0,0.0,0.0,1913563,North China,1554999
113,Hebei,413905.0,,2001,5516.76,66989,,,,2186885,North China,2130562
114,Hebei,479765.0,92930.0,2002,6018.28,78271,,,,2201482,North China,2775346
115,Hebei,624167.0,117614.0,2003,6921.29,96405,,,,2484625,North China,3161337
116,Hebei,859056.0,595277.0,2004,8477.63,162341,,,,,North China,3965747
117,Hebei,859056.0,,2005,10012.11,191000,,,,,North China,4503640
118,Hebei,1253141.0,516690.0,2006,11467.6,201434,,,,4533437,North China,5831974
119,Hebei,2981235.0,694400.0,2007,13607.32,241621,0.0,0.5,0.0,7891198,North China,7537692
120,Heilongjiang,159850.0,,1996,2370.5,54841,,,,889647,Northeast China,798161
121,Heilongjiang,159850.0,,1997,2667.5,73485,0.0,0.0,0.0,889647,Northeast China,865269
122,Heilongjiang,300148.0,,1998,2774.4,52639,0.0,0.0,0.0,1120112,Northeast China,1169677
123,Heilongjiang,480289.0,,1999,2866.3,31828,0.0,0.0,0.0,1223447,Northeast China,1757482
124,Heilongjiang,684767.0,40604.0,2000,3151.4,30086,0.0,0.0,0.0,1310512,Northeast China,2052220
125,Heilongjiang,1071473.0,,2001,3390.1,34114,0.0,0.0,0.0,1475959,Northeast China,2619506
126,Heilongjiang,1207353.0,80361.0,2002,3637.2,35511,0.0,0.0,0.0,1548155,Northeast China,2977880
127,Heilongjiang,1246484.0,93323.0,2003,4057.4,32180,0.0,0.0,0.0,1675757,Northeast China,3101537
128,Heilongjiang,982531.0,324982.0,2004,4750.6,123639,0.0,0.0,0.0,,Northeast China,4409182
129,Heilongjiang,982531.0,,2005,5513.7,145000,0.0,0.0,0.0,,Northeast China,5042390
130,Heilongjiang,1331590.0,309582.0,2006,6211.8,170801,0.0,0.0,0.21621621600000002,2567976,Northeast China,6003791
131,Heilongjiang,3847672.0,1046700.0,2007,7104.0,208508,0.0,0.0,0.21621621600000002,4404689,Northeast China,7968319
132,Henan,258450.0,,1996,3634.69,52566,0.0,0.0,0.0,1419641,South Central China,917829
133,Henan,283675.0,,1997,4041.09,69204,0.0,0.0,0.0,1611111,South Central China,959268
134,Henan,292927.0,,1998,4308.24,61654,0.0,0.0,0.0,1818364,South Central China,1194558
135,Henan,453878.0,,1999,4517.94,52135,0.0,0.0,0.0,1935713,South Central China,1593153
136,Henan,354775.0,56070.0,2000,5052.99,56403,0.0,0.0,0.0,2125369,South Central China,1873822
137,Henan,394916.0,,2001,5533.01,45729,0.0,0.24,0.0,2299685,South Central China,2409063
138,Henan,518022.0,143800.0,2002,6035.48,40463,0.0,0.24,0.0,2450874,South Central China,3051103
139,Henan,685732.0,241282.0,2003,6867.7,53903,0.0,0.0,0.516129032,2823413,South Central China,3586373
140,Henan,1171796.0,729788.0,2004,8553.79,87367,0.0,0.0,0.516129032,,South Central China,4666479
141,Henan,1171796.0,,2005,10587.42,123000,0.0,0.0,0.0,,South Central China,5676863
142,Henan,2018158.0,1131615.0,2006,12362.79,184526,0.0,0.0,0.0,6212824,South Central China,7601825
143,Henan,3860764.0,1737800.0,2007,15012.46,306162,0.0,0.0,0.0,8620804,South Central China,10533312
144,Hubei,132108.0,,1996,2499.77,68878,0.27027027,0.0,0.0,1113631,South Central China,705235
145,Hubei,154109.0,,1997,2856.47,79019,0.27027027,0.0,0.0,1242408,South Central China,728062
146,Hubei,230293.0,,1998,3114.02,97294,0.0,0.27027027,0.0,1543907,South Central China,1090143
147,Hubei,252497.0,,1999,3229.29,91488,0.0,0.27027027,0.0,1766409,South Central China,1351609
148,Hubei,340372.0,27387.0,2000,3545.39,94368,0.0,0.27027027,0.0,1925862,South Central China,1492835
149,Hubei,316399.0,,2001,3880.53,118860,0.0,0.0,0.6176470589999999,2088418,South Central China,2452417
150,Hubei,262197.0,8115.0,2002,4212.82,142665,0.0,0.0,0.13,1841592,South Central China,2545841
151,Hubei,271297.0,100900.0,2003,4757.45,156886,0.0,0.111111111,0.0,2024337,South Central China,2764053
152,Hubei,638826.0,487389.0,2004,5633.24,207126,0.0,0.111111111,0.0,,South Central China,3712784
153,Hubei,638826.0,,2005,6590.19,218500,0.0,0.111111111,0.0,,South Central China,4313147
154,Hubei,985851.0,460668.0,2006,7617.47,244853,0.0,0.111111111,0.0,3444533,South Central China,6033279
155,Hubei,2922784.0,1263500.0,2007,9333.4,276622,0.0,0.111111111,0.0,5903552,South Central China,7666512
156,Hunan,244143.0,,1996,2540.13,70344,0.0,0.0,0.0,1139675,South Central China,876219
157,Hunan,271505.0,,1997,2849.27,91702,0.0,0.0,0.0,1205397,South Central China,853924
158,Hunan,239834.0,,1998,3025.53,81816,0.0,0.0,0.0,1365053,South Central China,1251674
159,Hunan,381207.0,,1999,3214.54,65374,0.0,0.0,0.0,1438239,South Central China,1538234
160,Hunan,319710.0,26300.0,2000,3551.49,67833,0.0,0.0,0.0,1514799,South Central China,1742585
161,Hunan,435853.0,,2001,3831.9,81011,0.0,0.0,0.0,1734540,South Central China,2367696
162,Hunan,601485.0,86256.0,2002,4151.54,90022,0.0,0.0,0.0,1851377,South Central China,2907301
163,Hunan,675931.0,135765.0,2003,4659.99,101835,0.0,0.0,0.0,2195820,South Central China,3114638
164,Hunan,1003837.0,543256.0,2004,5641.94,141800,0.0,0.0,0.0,,South Central China,4395762
165,Hunan,1003837.0,,2005,6596.1,207200,0.0,0.0,0.0,,South Central China,4843555
166,Hunan,1562694.0,763953.0,2006,7688.67,259335,0.0,0.4375,0.0,3816261,South Central China,6349262
167,Hunan,3156087.0,1329200.0,2007,9439.6,327051,0.0,0.4375,0.0,6065508,South Central China,8340692
168,Jiangsu,269405.0,,1996,5155.25,478058,0.0,0.0,0.051282050999999995,2012527,East China,784629
169,Jiangsu,269405.0,,1997,6004.21,507208,0.0,0.0,0.051282050999999995,2012527,East China,869697
170,Jiangsu,391357.0,,1998,6680.34,543511,0.0,0.0,0.051282050999999995,2688278,East China,936582
171,Jiangsu,457561.0,,1999,7199.95,663179,0.0,0.0,0.051282050999999995,3108641,East China,1113663
172,Jiangsu,251539.0,60906.0,2000,7697.82,607756,0.0,0.0,0.051282050999999995,4032810,East China,1210637
173,Jiangsu,279809.0,,2001,8553.69,642550,0.0,0.0,0.0,5142018,East China,1332081
174,Jiangsu,370049.0,119658.0,2002,9456.84,691482,0.0,0.0,0.0,5596906,East China,1472622
175,Jiangsu,458201.0,173552.0,2003,10606.85,1018960,0.0,0.0,0.0,7071605,East China,2023674
176,Jiangsu,1483371.0,433860.0,2004,12442.87,1056365,0.0,0.0,0.275862069,,East China,2410257
177,Jiangsu,1483371.0,,2005,15003.6,1213800,0.0,0.0,0.275862069,,East China,3479548
178,Jiangsu,1388043.0,429591.0,2006,18598.69,1318339,0.0,0.0,0.275862069,14740022,East China,2926542
179,Jiangsu,1188989.0,0.0,2007,21742.05,1743140,0.0,0.0,0.275862069,22377276,East China,3557071
180,Jiangxi,118069.0,,1996,1169.73,28818,,,,708694,East China,489132
181,Jiangxi,128940.0,,1997,1409.74,30068,0.0,0.0,0.0,806252,East China,558382
182,Jiangxi,213166.0,,1998,1605.77,47768,0.0,0.0,0.0,880011,East China,580343
183,Jiangxi,548260.0,,1999,1719.87,46496,0.0,0.0,0.0,929922,East China,913363
184,Jiangxi,248903.0,32868.0,2000,1853.65,32080,0.0,0.0,0.0,966606,East China,1109537
185,Jiangxi,262471.0,,2001,2003.07,22724,0.0,0.0,0.0,1058560,East China,1159657
186,Jiangxi,395775.0,114418.0,2002,2175.68,39575,0.0,0.0,0.0,1163113,East China,1648826
187,Jiangxi,447709.0,179252.0,2003,2450.48,108197,0.0,0.0,0.47,1389153,East China,2017594
188,Jiangxi,834921.0,494555.0,2004,2807.41,161202,0.0,0.41025641,0.0,,East China,2219489
189,Jiangxi,834921.0,,2005,3456.7,205238,0.0,0.41025641,0.0,,East China,2857987
190,Jiangxi,1035872.0,655919.0,2006,4056.76,242000,0.0,0.41025641,0.0,2525301,East China,3343228
191,Jiangxi,2045869.0,1272600.0,2007,4820.53,280657,0.0,0.41025641,0.0,3898510,East China,4229821
192,Jilin,80595.0,,1996,1137.23,39876,,,,520368,Northeast China,625471
193,Jilin,80595.0,,1997,1346.79,45155,,,,520368,Northeast China,724510
194,Jilin,168026.0,,1998,1464.34,40227,,,,657466,Northeast China,840964
195,Jilin,350998.0,,1999,1577.05,40917,,,,751271,Northeast China,936039
196,Jilin,271499.0,30705.0,2000,1672.96,30120,0.0,0.0,0.0,776120,Northeast China,1364344
197,Jilin,360942.0,,2001,1951.51,33701,0.0,0.0,0.0,887850,Northeast China,1610738
198,Jilin,484715.0,53900.0,2002,2120.35,33766,0.0,0.0,0.0,932549,Northeast China,2047192
199,Jilin,510656.0,108624.0,2003,2348.54,24468,0.0,0.0,0.0,1089674,Northeast China,2376983
200,Jilin,1101683.0,339008.0,2004,2662.08,19059,0.0,0.0,0.0,,Northeast China,2899652
201,Jilin,1101683.0,,2005,3122.01,45266,0.0,0.0,0.0,,Northeast China,3472283
202,Jilin,1358528.0,540479.0,2006,3620.27,66100,0.0,0.0,0.0,1802055,Northeast China,4133488
203,Jilin,2663667.0,1016400.0,2007,4275.12,76064,0.0,0.0,0.0,3206892,Northeast China,4607955
204,Liaoning,382144.0,,1996,2793.37,140405,,,,1851721,Northeast China,758892
205,Liaoning,382144.0,,1997,3157.69,167142,,,,1851721,Northeast China,1036882
206,Liaoning,406297.0,,1998,3582.46,220470,,,,2325858,Northeast China,1039437
207,Liaoning,727515.0,,1999,3881.73,219045,0.0,0.0,,2465666,Northeast China,1262240
208,Liaoning,591127.0,19360.0,2000,4171.69,106173,0.0,0.0,,2577478,Northeast China,1748880
209,Liaoning,852138.0,,2001,4669.06,204446,0.0,0.0,,3162106,Northeast China,2179977
210,Liaoning,888259.0,66584.0,2002,5033.08,251612,0.0,0.0,,3383091,Northeast China,2773639
211,Liaoning,1043529.0,85523.0,2003,5458.22,341168,0.0,0.0,,3502389,Northeast China,2937319
212,Liaoning,1357726.0,160725.0,2004,6002.54,282410,0.0,0.0,,,Northeast China,3511119
213,Liaoning,1357726.0,,2005,6672.0,540679,0.0,0.0,,,Northeast China,4183807
214,Liaoning,1947031.0,179893.0,2006,8047.26,359000,0.516129032,0.0,,6530236,Northeast China,4605917
215,Liaoning,3396397.0,599600.0,2007,9304.52,598554,0.516129032,0.0,,10826948,Northeast China,5502192
216,Ningxia,32088.0,,1996,202.9,2826,,,,90805,Northwest China,178668
217,Ningxia,44267.0,,1997,224.59,671,,,,102083,Northwest China,195295
218,Ningxia,56067.0,,1998,245.44,1856,0.0,0.13888888900000002,0.0,134578,Northwest China,274994
219,Ningxia,79552.0,,1999,264.58,5134,0.0,0.13888888900000002,0.0,143209,Northwest China,361358
220,Ningxia,91405.0,2990.0,2000,295.02,1741,0.0,0.13888888900000002,0.0,157652,Northwest China,475184
221,Ningxia,155172.0,,2001,337.44,1680,0.0,0.13888888900000002,0.0,208111,Northwest China,707757
222,Ningxia,107687.0,29646.0,2002,377.16,2200,0.0,0.13888888900000002,0.0,202761,Northwest China,866691
223,Ningxia,133858.0,36946.0,2003,445.36,1743,0.0,0.0,0.0,233299,Northwest China,736165
224,Ningxia,240428.0,95321.0,2004,537.11,6689,0.0,0.0,0.0,,Northwest China,1012259
225,Ningxia,240428.0,,2005,612.61,14100,0.0,0.0,0.0,,Northwest China,1227595
226,Ningxia,295133.0,107658.0,2006,725.9,3718,0.0,0.0,0.0,447643,Northwest China,1423771
227,Ningxia,821750.0,527300.0,2007,919.11,5047,0.0,0.0,0.0,800312,Northwest China,1986738
228,Qinghai,37976.0,,1996,184.17,576,,,,73260,Northwest China,218361
229,Qinghai,65556.0,,1997,202.79,247,,,,77307,Northwest China,248254
230,Qinghai,60790.0,,1998,220.92,1010,0.0,0.0,0.0,95773,Northwest China,301523
231,Qinghai,78971.0,,1999,239.38,459,0.0,0.0,0.0,103088,Northwest China,434112
232,Qinghai,107046.0,11755.0,2000,263.68,11020,0.0,0.0,0.0,118013,Northwest China,546541
233,Qinghai,128772.0,,2001,300.13,3649,0.0,0.0,0.0,133167,Northwest China,922418
234,Qinghai,160637.0,11767.0,2002,340.65,4726,0.0,0.0,0.0,147235,Northwest China,976396
235,Qinghai,179235.0,17400.0,2003,390.2,2522,0.0,0.0,0.128205128,169770,Northwest China,948521
236,Qinghai,216690.0,77400.0,2004,466.1,22500,,,,,Northwest China,1260633
237,Qinghai,216690.0,,2005,543.32,26600,,,,,Northwest China,1518797
238,Qinghai,287680.0,123864.0,2006,648.5,27500,,,,284059,Northwest China,1797687
239,Qinghai,875877.0,659400.0,2007,797.35,31000,0.0,0.0,0.0,567083,Northwest China,2347862
240,Shaanxi,112641.0,,1996,1215.84,33008,,,,563621,Northwest China,551362
241,Shaanxi,122059.0,,1997,1363.6,62816,0.0,0.0,0.0,640759,Northwest China,592773
242,Shaanxi,167487.0,,1998,1458.4,30010,0.0,0.0,0.0,781908,Northwest China,757335
243,Shaanxi,249005.0,,1999,1592.64,24197,0.0,0.0,0.0,895655,Northwest China,1028081
244,Shaanxi,228043.0,27302.0,2000,1804.0,28842,0.0,0.0,0.0,971485,Northwest China,1658350
245,Shaanxi,150447.0,,2001,2010.62,35174,0.0,0.0,0.0,1149071,Northwest China,2094160
246,Shaanxi,127819.0,60560.0,2002,2253.39,36005,0.0,0.0,0.0,1212843,Northwest China,2378616
247,Shaanxi,144839.0,123317.0,2003,2587.72,33190,0.0,0.0,0.0,1443753,Northwest China,2444270
248,Shaanxi,152438.0,457661.0,2004,3175.58,52664,0.0,0.0,0.0,,Northwest China,3447710
249,Shaanxi,152438.0,,2005,3933.72,62800,0.0,0.0,0.0,,Northwest China,3813845
250,Shaanxi,369552.0,570723.0,2006,4743.61,92489,0.0,0.0,0.0,2419708,Northwest China,4613724
251,Shaanxi,2669238.0,1081000.0,2007,5757.29,119516,0.03125,0.0,0.8125,4752398,Northwest China,6308151
252,Shandong,389979.0,,1996,5883.8,259041,,,,2094091,East China,1138253
253,Shandong,320167.0,,1997,6537.07,249294,,,,2511401,East China,1180839
254,Shandong,411686.0,,1998,7021.35,220274,0.0,0.0,0.0,3093279,East China,1328094
255,Shandong,422301.0,,1999,7493.84,225878,0.0,0.0,0.0,3537523,East China,1476637
256,Shandong,364292.0,,2000,8337.47,297119,0.0,0.0,0.0,4023245,East China,1612074
257,Shandong,480930.0,,2001,9195.04,352093,0.0,0.0,0.0,4977177,East China,1828536
258,Shandong,430577.0,113000.0,2002,10275.5,473404,0.0,0.0,0.0,5145006,East China,2455900
259,Shandong,531994.0,116000.0,2003,12078.15,601617,0.0,0.0,0.0,6166904,East China,2940367
260,Shandong,1011203.0,112137.0,2004,15021.84,870064,0.0,0.0,0.0,,East China,3732990
261,Shandong,1011203.0,,2005,18366.87,897000,0.0,0.0,0.0,,East China,4142859
262,Shandong,1204547.0,112137.0,2006,21900.19,1000069,0.0,0.0,0.0,11673659,East China,5304833
263,Shandong,2121243.0,581800.0,2007,25776.91,1101159,0.0,0.0,0.0,16753980,East China,6357869
264,Shanghai,359442.0,,1996,2957.55,471578,0.0,0.0,0.352941176,1394387,East China,659095
265,Shanghai,359442.0,,1997,3438.79,422536,0.0,0.0,0.44,1394387,East China,787796
266,Shanghai,574306.0,,1998,3801.09,360150,0.0,0.0,0.44,1819952,East China,958451
267,Shanghai,638458.0,,1999,4188.73,283665,0.0,0.0,0.44,1957122,East China,1083853
268,Shanghai,8964.0,,2000,4771.17,316014,0.0,0.0,0.44,2224124,East China,1212473
269,Shanghai,9834.0,,2001,5210.12,429159,0.0,0.0,0.44,2947285,East China,1053917
270,Shanghai,19985.0,,2002,5741.03,427229,0.0,0.0,0.44,3380397,East China,1572208
271,Shanghai,23547.0,,2003,6694.23,546849,0.0,0.53,0.0,4461153,East China,2031496
272,Shanghai,29943.0,,2004,8072.83,654100,0.0,0.53,0.0,,East China,2703643
273,Shanghai,29943.0,,2005,9247.66,685000,0.0,0.53,0.0,,East China,2140461
274,Shanghai,42928.0,,2006,10572.24,710700,0.0,0.53,0.0,8175966,East China,2239987
275,Shanghai,272744.0,0.0,2007,12494.01,792000,,,,20744792,East China,2386339
276,Shanxi,130198.0,,1996,1292.11,13802,,,,680894,North China,464833
277,Shanxi,130198.0,,1997,1476.0,26592,,,,680894,North China,479587
278,Shanxi,165077.0,,1998,1611.08,24451,,,,836882,North China,560656
279,Shanxi,255783.0,,1999,1667.1,39129,,,,878702,North China,796094
280,Shanxi,217707.0,32119.0,2000,1845.72,22472,0.0,0.0,0.0,919235,North China,1047698
281,Shanxi,339217.0,,2001,2029.53,23393,0.0,0.0,0.0,1040997,North China,1529490
282,Shanxi,472786.0,88007.0,2002,2324.8,21164,0.0,0.0,0.0,1060812,North China,1845611
